36 60
0 0 0
1 1 0
2 2 0
3 3 0
4 4 0
5 5 0
6 0 1
7 1 1
8 2 1
9 3 1
10 4 1
11 5 1
12 0 2
13 1 2
14 2 2
15 3 2
16 4 2
17 5 2
18 0 3
19 1 3
20 2 3
21 3 3
22 4 3
23 5 3
24 0 4
25 1 4
26 2 4
27 3 4
28 4 4
29 5 4
30 0 5
31 1 5
32 2 5
33 3 5
34 4 5
35 5 5
0 1 1
1 2 1
2 3 1
3 4 1
4 5 1
6 7 1
7 8 1
8 9 1
9 10 1
10 11 1
12 13 1
13 14 1
14 15 1
15 16 1
16 17 1
18 19 1
19 20 1
20 21 1
21 22 1
22 23 1
24 25 1
25 26 1
26 27 1
27 28 1
28 29 1
30 31 1
31 32 1
32 33 1
33 34 1
34 35 1
0 6 1
1 7 1
2 8 1
3 9 1
4 10 1
5 11 1
6 12 1
7 13 1
8 14 1
9 15 1
10 16 1
11 17 1
12 18 1
13 19 1
14 20 1
15 21 1
16 22 1
17 23 1
18 24 1
19 25 1
20 26 1
21 27 1
22 28 1
23 29 1
24 30 1
25 31 1
26 32 1
27 33 1
28 34 1
29 35 1
