49 84
0 0 0
1 1 0
2 2 0
3 3 0
4 4 0
5 5 0
6 6 0
7 0 1
8 1 1
9 2 1
10 3 1
11 4 1
12 5 1
13 6 1
14 0 2
15 1 2
16 2 2
17 3 2
18 4 2
19 5 2
20 6 2
21 0 3
22 1 3
23 2 3
24 3 3
25 4 3
26 5 3
27 6 3
28 0 4
29 1 4
30 2 4
31 3 4
32 4 4
33 5 4
34 6 4
35 0 5
36 1 5
37 2 5
38 3 5
39 4 5
40 5 5
41 6 5
42 0 6
43 1 6
44 2 6
45 3 6
46 4 6
47 5 6
48 6 6
0 1 1
1 2 1
2 3 1
3 4 1
4 5 1
5 6 1
7 8 1
8 9 1
9 10 1
10 11 1
11 12 1
12 13 1
14 15 1
15 16 1
16 17 1
17 18 1
18 19 1
19 20 1
21 22 1
22 23 1
23 24 1
24 25 1
25 26 1
26 27 1
28 29 1
29 30 1
30 31 1
31 32 1
32 33 1
33 34 1
35 36 1
36 37 1
37 38 1
38 39 1
39 40 1
40 41 1
42 43 1
43 44 1
44 45 1
45 46 1
46 47 1
47 48 1
0 7 1
1 8 1
2 9 1
3 10 1
4 11 1
5 12 1
6 13 1
7 14 1
8 15 1
9 16 1
10 17 1
11 18 1
12 19 1
13 20 1
14 21 1
15 22 1
16 23 1
17 24 1
18 25 1
19 26 1
20 27 1
21 28 1
22 29 1
23 30 1
24 31 1
25 32 1
26 33 1
27 34 1
28 35 1
29 36 1
30 37 1
31 38 1
32 39 1
33 40 1
34 41 1
35 42 1
36 43 1
37 44 1
38 45 1
39 46 1
40 47 1
41 48 1
