81 144
0 0 0
1 1 0
2 2 0
3 3 0
4 4 0
5 5 0
6 6 0
7 7 0
8 8 0
9 0 1
10 1 1
11 2 1
12 3 1
13 4 1
14 5 1
15 6 1
16 7 1
17 8 1
18 0 2
19 1 2
20 2 2
21 3 2
22 4 2
23 5 2
24 6 2
25 7 2
26 8 2
27 0 3
28 1 3
29 2 3
30 3 3
31 4 3
32 5 3
33 6 3
34 7 3
35 8 3
36 0 4
37 1 4
38 2 4
39 3 4
40 4 4
41 5 4
42 6 4
43 7 4
44 8 4
45 0 5
46 1 5
47 2 5
48 3 5
49 4 5
50 5 5
51 6 5
52 7 5
53 8 5
54 0 6
55 1 6
56 2 6
57 3 6
58 4 6
59 5 6
60 6 6
61 7 6
62 8 6
63 0 7
64 1 7
65 2 7
66 3 7
67 4 7
68 5 7
69 6 7
70 7 7
71 8 7
72 0 8
73 1 8
74 2 8
75 3 8
76 4 8
77 5 8
78 6 8
79 7 8
80 8 8
0 1 1
1 2 1
2 3 1
3 4 1
4 5 1
5 6 1
6 7 1
7 8 1
9 10 1
10 11 1
11 12 1
12 13 1
13 14 1
14 15 1
15 16 1
16 17 1
18 19 1
19 20 1
20 21 1
21 22 1
22 23 1
23 24 1
24 25 1
25 26 1
27 28 1
28 29 1
29 30 1
30 31 1
31 32 1
32 33 1
33 34 1
34 35 1
36 37 1
37 38 1
38 39 1
39 40 1
40 41 1
41 42 1
42 43 1
43 44 1
45 46 1
46 47 1
47 48 1
48 49 1
49 50 1
50 51 1
51 52 1
52 53 1
54 55 1
55 56 1
56 57 1
57 58 1
58 59 1
59 60 1
60 61 1
61 62 1
63 64 1
64 65 1
65 66 1
66 67 1
67 68 1
68 69 1
69 70 1
70 71 1
72 73 1
73 74 1
74 75 1
75 76 1
76 77 1
77 78 1
78 79 1
79 80 1
0 9 1
1 10 1
2 11 1
3 12 1
4 13 1
5 14 1
6 15 1
7 16 1
8 17 1
9 18 1
10 19 1
11 20 1
12 21 1
13 22 1
14 23 1
15 24 1
16 25 1
17 26 1
18 27 1
19 28 1
20 29 1
21 30 1
22 31 1
23 32 1
24 33 1
25 34 1
26 35 1
27 36 1
28 37 1
29 38 1
30 39 1
31 40 1
32 41 1
33 42 1
34 43 1
35 44 1
36 45 1
37 46 1
38 47 1
39 48 1
40 49 1
41 50 1
42 51 1
43 52 1
44 53 1
45 54 1
46 55 1
47 56 1
48 57 1
49 58 1
50 59 1
51 60 1
52 61 1
53 62 1
54 63 1
55 64 1
56 65 1
57 66 1
58 67 1
59 68 1
60 69 1
61 70 1
62 71 1
63 72 1
64 73 1
65 74 1
66 75 1
67 76 1
68 77 1
69 78 1
70 79 1
71 80 1
