64 112
0 0 0
1 1 0
2 2 0
3 3 0
4 4 0
5 5 0
6 6 0
7 7 0
8 0 1
9 1 1
10 2 1
11 3 1
12 4 1
13 5 1
14 6 1
15 7 1
16 0 2
17 1 2
18 2 2
19 3 2
20 4 2
21 5 2
22 6 2
23 7 2
24 0 3
25 1 3
26 2 3
27 3 3
28 4 3
29 5 3
30 6 3
31 7 3
32 0 4
33 1 4
34 2 4
35 3 4
36 4 4
37 5 4
38 6 4
39 7 4
40 0 5
41 1 5
42 2 5
43 3 5
44 4 5
45 5 5
46 6 5
47 7 5
48 0 6
49 1 6
50 2 6
51 3 6
52 4 6
53 5 6
54 6 6
55 7 6
56 0 7
57 1 7
58 2 7
59 3 7
60 4 7
61 5 7
62 6 7
63 7 7
0 1 1
1 2 1
2 3 1
3 4 1
4 5 1
5 6 1
6 7 1
8 9 1
9 10 1
10 11 1
11 12 1
12 13 1
13 14 1
14 15 1
16 17 1
17 18 1
18 19 1
19 20 1
20 21 1
21 22 1
22 23 1
24 25 1
25 26 1
26 27 1
27 28 1
28 29 1
29 30 1
30 31 1
32 33 1
33 34 1
34 35 1
35 36 1
36 37 1
37 38 1
38 39 1
40 41 1
41 42 1
42 43 1
43 44 1
44 45 1
45 46 1
46 47 1
48 49 1
49 50 1
50 51 1
51 52 1
52 53 1
53 54 1
54 55 1
56 57 1
57 58 1
58 59 1
59 60 1
60 61 1
61 62 1
62 63 1
0 8 1
1 9 1
2 10 1
3 11 1
4 12 1
5 13 1
6 14 1
7 15 1
8 16 1
9 17 1
10 18 1
11 19 1
12 20 1
13 21 1
14 22 1
15 23 1
16 24 1
17 25 1
18 26 1
19 27 1
20 28 1
21 29 1
22 30 1
23 31 1
24 32 1
25 33 1
26 34 1
27 35 1
28 36 1
29 37 1
30 38 1
31 39 1
32 40 1
33 41 1
34 42 1
35 43 1
36 44 1
37 45 1
38 46 1
39 47 1
40 48 1
41 49 1
42 50 1
43 51 1
44 52 1
45 53 1
46 54 1
47 55 1
48 56 1
49 57 1
50 58 1
51 59 1
52 60 1
53 61 1
54 62 1
55 63 1
